language,n_val,f1_text,f1_multi,delta_fusion,ci_low,ci_high,sign_determined,fusion_positive
Tagalog,284,0.840683,0.876522,0.035839,0.000494,0.07226,1,1
Hindi,287,0.859563,0.886846,0.027283,-0.005706,0.060051,0,1
Darija,257,0.829861,0.849748,0.019887,-0.019397,0.063058,0,1
English,246,0.846507,0.86076,0.014253,-0.026739,0.054018,0,1
Swahili,301,0.882032,0.895517,0.013485,-0.018346,0.044506,0,1
Turkish,284,0.88818,0.900351,0.012171,-0.02417,0.047848,0,1
Kyrgyz,247,0.947244,0.959402,0.012158,-0.008114,0.03284,0,1
Burmese,236,0.899274,0.909347,0.010073,-0.026746,0.049165,0,1
Vietnamese,318,0.931262,0.938498,0.007236,-0.018183,0.031966,0,1
Hausa,292,0.827881,0.831074,0.003193,-0.048168,0.05169,0,1
Chinese,270,0.990613,0.990613,0.0,-0.01379,0.013572,0,0
Tamil,259,0.932672,0.929532,-0.00314,-0.037497,0.029301,0,0
Malay,292,0.872287,0.867897,-0.00439,-0.035816,0.026053,0,0
Korean,301,0.94927,0.939069,-0.010201,-0.030412,0.010041,0,0
Thai,158,0.906785,0.895391,-0.011394,-0.056416,0.032849,0,0
IsiZulu,292,0.874346,0.858132,-0.016213,-0.046464,0.013835,0,0
Igbo,316,0.835159,0.814844,-0.020315,-0.072296,0.033061,0,0
Yoruba,297,0.834618,0.809045,-0.025573,-0.071223,0.020391,0,0
Urdu,137,0.918125,0.891585,-0.02654,-0.068581,0.0,1,0
Kazakh,84,0.845148,0.816993,-0.028155,-0.088201,0.029344,0,0
Indonesian,188,0.856093,0.824709,-0.031384,-0.079494,0.013996,0,0
Arabic,227,0.869592,0.834331,-0.035261,-0.104575,0.024807,0,0
Uzbek,296,0.852795,0.816724,-0.036071,-0.07476,0.001657,0,0
Kinyarwanda,239,0.827561,0.768255,-0.059306,-0.118035,-0.005376,1,0
Setswana,232,0.779909,0.719839,-0.06007,-0.134795,0.006645,0,0
IsiXhosa,69,0.82963,0.763049,-0.06658,-0.2096,0.071657,0,0
Emakhuwa,66,0.807018,0.736752,-0.070265,-0.249179,0.064479,0,0
IsiNdebele,84,0.816993,0.71936,-0.097634,-0.196202,-0.005582,1,0
